row_in_page,Name,Texas Attorneys,Texas Population,Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys,docu_name,page_number,potential_counties_detected
11,Corpus Christi MSA,"1,076","454,726",1:423,1.20%,AttorneyPopulationDensity2016-17.pdf,5,36
12,.Aransas County,35,"25,721",1:735,0.04%,AttorneyPopulationDensity2016-17.pdf,5,36
13,.Nueces County,971,"361,350",1:372,1.09%,AttorneyPopulationDensity2016-17.pdf,5,36
14,.San Patricio County,70,"67,655",1:967,0.08%,AttorneyPopulationDensity2016-17.pdf,5,36
15,Dallas-Fort Worth-Arlington MSA,"27,346","7,233,323",1:265,30.60%,AttorneyPopulationDensity2016-17.pdf,5,36
16,.Collin County,"2,937","939,585",1:320,3.29%,AttorneyPopulationDensity2016-17.pdf,5,36
17,.Dallas County,"16,369","2,574,984",1:157,18.32%,AttorneyPopulationDensity2016-17.pdf,5,36
18,.Denton County,"1,441","806,180",1:559,1.61%,AttorneyPopulationDensity2016-17.pdf,5,36
19,.Ellis County,208,"168,499",1:810,0.23%,AttorneyPopulationDensity2016-17.pdf,5,36
20,Hood County,96,"56,857",1:592,0.11%,AttorneyPopulationDensity2016-17.pdf,5,36
21,.Hunt County,75,"92,073","1:1,228",0.08%,AttorneyPopulationDensity2016-17.pdf,5,36
22,.Johnson County,176,"163,274",1:928,0.20%,AttorneyPopulationDensity2016-17.pdf,5,36
23,.Kaufman County,151,"118,350",1:784,0.17%,AttorneyPopulationDensity2016-17.pdf,5,36
24,.Parker County,193,"129,441",1:671,0.22%,AttorneyPopulationDensity2016-17.pdf,5,36
25,.Rockwall County,261,"93,978",1:360,0.29%,AttorneyPopulationDensity2016-17.pdf,5,36
26,Somervell County,6,"8,775","1:1,463",0.01%,AttorneyPopulationDensity2016-17.pdf,5,36
27,.Tarrant County,"5,370","2,016,872",1:376,6.01%,AttorneyPopulationDensity2016-17.pdf,5,36
28,.Wise County,63,"64,455","1:1,023",0.07%,AttorneyPopulationDensity2016-17.pdf,5,36
29,El Paso MSA,"1,286","841,971",1:655,1.44%,AttorneyPopulationDensity2016-17.pdf,5,36
30,.El Paso County,"1,286","837,918",1:652,1.44%,AttorneyPopulationDensity2016-17.pdf,5,36
31,Hudspeth County,0,"4,053",1:--,0.00%,AttorneyPopulationDensity2016-17.pdf,5,36
32,Houston-The Woodlands-Sugar Land MSA,"28,604","6,772,470",1:237,32.01%,AttorneyPopulationDensity2016-17.pdf,5,36
33,.Austin County,46,"29,758",1:647,0.05%,AttorneyPopulationDensity2016-17.pdf,5,36
34,.Brazoria County,722,"354,195",1:491,0.81%,AttorneyPopulationDensity2016-17.pdf,5,36
35,.Chambers County,32,"39,899","1:1,247",0.04%,AttorneyPopulationDensity2016-17.pdf,5,36
36,.Fort Bend County,"1,771","741,237",1:419,1.98%,AttorneyPopulationDensity2016-17.pdf,5,36
37,.Galveston County,808,"329,431",1:408,0.90%,AttorneyPopulationDensity2016-17.pdf,5,36
38,.Harris County,"23,602","4,589,928",1:194,26.41%,AttorneyPopulationDensity2016-17.pdf,5,36
39,.Liberty County,72,"81,704","1:1,135",0.08%,AttorneyPopulationDensity2016-17.pdf,5,36
40,.Montgomery County,"1,496","556,203",1:372,1.67%,AttorneyPopulationDensity2016-17.pdf,5,36
41,.Waller County,55,"50,115",1:911,0.06%,AttorneyPopulationDensity2016-17.pdf,5,36
0,.Bell County,347,"340,411",1:981,0.39%,AttorneyPopulationDensity2016-17.pdf,6,30
1,.Coryell County,35,"74,686","1:2,134",0.04%,AttorneyPopulationDensity2016-17.pdf,6,30
2,.Lampasas County,19,"20,760","1:1,093",0.02%,AttorneyPopulationDensity2016-17.pdf,6,30
3,.Webb County,348,"271,193",1:779,0.39%,AttorneyPopulationDensity2016-17.pdf,6,30
4,.Gregg County,295,"123,745",1:419,0.33%,AttorneyPopulationDensity2016-17.pdf,6,30
5,.Rusk County,32,"52,732","1:1,648",0.04%,AttorneyPopulationDensity2016-17.pdf,6,30
6,.Upshur County,35,"40,969","1:1,171",0.04%,AttorneyPopulationDensity2016-17.pdf,6,30
7,.Crosby County,5,"5,992","1:1,198",0.01%,AttorneyPopulationDensity2016-17.pdf,6,30
8,.Lubbock County,808,"303,137",1:375,0.90%,AttorneyPopulationDensity2016-17.pdf,6,30
9,.Hidalgo County,"1,058","849,843",1:803,1.18%,AttorneyPopulationDensity2016-17.pdf,6,30
10,Martin County,2,"5,723","1:2,862",0.00%,AttorneyPopulationDensity2016-17.pdf,6,30
11,.Midland County,494,"162,565",1:329,0.55%,AttorneyPopulationDensity2016-17.pdf,6,30
12,.Ector County,187,"157,462",1:842,0.21%,AttorneyPopulationDensity2016-17.pdf,6,30
13,.Irion County,1,"1,557","1:1,557",0.00%,AttorneyPopulationDensity2016-17.pdf,6,30
14,.Tom Green County,198,"118,386",1:598,0.22%,AttorneyPopulationDensity2016-17.pdf,6,30
15,.Atascosa County,39,"48,797","1:1,251",0.04%,AttorneyPopulationDensity2016-17.pdf,6,30
16,.Bandera County,30,"21,776",1:726,0.03%,AttorneyPopulationDensity2016-17.pdf,6,30
17,.Bexar County,"6,109","1,928,680",1:316,6.84%,AttorneyPopulationDensity2016-17.pdf,6,30
18,.Comal County,295,"134,788",1:457,0.33%,AttorneyPopulationDensity2016-17.pdf,6,30
19,.Guadalupe County,146,"155,265","1:1,063",0.16%,AttorneyPopulationDensity2016-17.pdf,6,30
20,.Kendall County,167,"42,540",1:255,0.19%,AttorneyPopulationDensity2016-17.pdf,6,30
21,.Medina County,43,"49,283","1:1,146",0.05%,AttorneyPopulationDensity2016-17.pdf,6,30
22,.Wilson County,34,"48,480","1:1,426",0.04%,AttorneyPopulationDensity2016-17.pdf,6,30
23,.Grayson County,198,"128,235",1:648,0.22%,AttorneyPopulationDensity2016-17.pdf,6,30
24,.Bowie County,211,"93,860",1:445,0.24%,AttorneyPopulationDensity2016-17.pdf,6,30
25,.Smith County,627,"225,290",1:359,0.70%,AttorneyPopulationDensity2016-17.pdf,6,30
26,.Goliad County,6,"7,517","1:1,253",0.01%,AttorneyPopulationDensity2016-17.pdf,6,30
27,.Victoria County,178,"92,467",1:519,0.20%,AttorneyPopulationDensity2016-17.pdf,6,30
0,Waco MSA,655,265207,1:405,0.73%,AttorneyPopulationDensity2016-17.pdf,7,38
1,Falls County,14,17273,"1:1,234",0.02%,AttorneyPopulationDensity2016-17.pdf,7,38
2,.McLennan County,641,247934,1:387,0.72%,AttorneyPopulationDensity2016-17.pdf,7,38
3,Wichita Falls MSA,221,150734,1:682,0.25%,AttorneyPopulationDensity2016-17.pdf,7,38
4,.Archer County,4,8703,"1:2,176",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
5,.Clay County,6,10193,"1:1,699",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
6,.Wichita County,211,131838,1:625,0.24%,AttorneyPopulationDensity2016-17.pdf,7,38
7,.Anderson County,50,57734,"1:1,155",0.06%,AttorneyPopulationDensity2016-17.pdf,7,38
8,.Andrews County,8,17760,"1:2,220",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
9,.Angelina County,130,87791,1:675,0.15%,AttorneyPopulationDensity2016-17.pdf,7,38
10,.Bailey County,3,7181,"1:2,394",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
11,.Baylor County,5,3697,1:739,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
12,.Bee County,29,32750,"1:1,129",0.03%,AttorneyPopulationDensity2016-17.pdf,7,38
13,.Blanco County,27,11392,1:422,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38
14,.Borden County,1,633,1:633,0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
15,.Bosque County,22,18097,1:823,0.02%,AttorneyPopulationDensity2016-17.pdf,7,38
16,.Brewster County,33,9200,1:279,0.04%,AttorneyPopulationDensity2016-17.pdf,7,38
17,.Briscoe County,1,1474,"1:1,474",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
18,.Brooks County,3,7214,"1:2,405",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
19,.Brown County,46,38271,1:832,0.05%,AttorneyPopulationDensity2016-17.pdf,7,38
20,.Burnet County,86,46243,1:538,0.10%,AttorneyPopulationDensity2016-17.pdf,7,38
21,Calhoun County,17,21965,"1:1,292",0.02%,AttorneyPopulationDensity2016-17.pdf,7,38
22,.Camp County,11,12867,"1:1,170",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
23,.Cass County,21,30375,"1:1,446",0.02%,AttorneyPopulationDensity2016-17.pdf,7,38
24,.Castro County,6,7669,"1:,278",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
25,.Cherokee County,61,51668,1:847,0.07%,AttorneyPopulationDensity2016-17.pdf,7,38
26,.Childress County,7,7052,"1:1,007",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
27,.Cochran County,1,2882,"1:2,882",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
28,.Coke County,1,3264,"1:3,264",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
29,.Coleman County,7,8420,"1:1,203",0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
30,.Collingsworth County,3,3016,"1:1,005",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
31,.Colorado County,26,21019,1:808,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38
32,.Comanche County,14,13484,1:963,0.02%,AttorneyPopulationDensity2016-17.pdf,7,38
33,.Concho County,3,4279,"1:1,426",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
34,.Cooke County,51,39266,1:770,0.06%,AttorneyPopulationDensity2016-17.pdf,7,38
35,.Cottle County,2,1402,1:701,0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
36,.Crane County,3,4830,"1:1,610",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
37,.Crockett County,9,3675,1:408,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38
38,.Culberson County,1,2198,"1:2,198",0.00%,AttorneyPopulationDensity2016-17.pdf,7,38
0,.Dallam County,9,7056,1:784,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
1,.Dawson County,10,13111,"1:1,311",0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
2,.Deaf Smith County,14,18830,"1:1,345",0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
3,.DeWitt County,19,5215,1:274,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
4,Delta County,3,20865,"1:6,955",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
5,.Dickens County,2,2184,"1:1,092",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
6,.Dimmit County,12,10794,1:900,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
7,.Donley County,7,3405,1:486,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
8,.Duval County,7,11428,"1:1,633",0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
9,.Eastland County,29,18274,1:630,0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
10,.Edwards County,2,1911,1:956,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
11,.Erath County,60,41659,1:694,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43
12,.Fannin County,24,34031,"1:1,418",0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
13,.Fayette County,46,25149,1:547,0.05%,AttorneyPopulationDensity2016-17.pdf,8,43
14,.Fisher County,2,3854,"1:1,927",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
15,.Floyd County,6,5917,1:986,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
16,.Foard County,2,1183,1:592,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
17,.Franklin County,7,10607,"1:1,515",0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
18,.Freestone County,26,19624,1:755,0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
19,.Frio County,14,18956,"1:1,354",0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
20,.Gaines County,7,20478,"1:2,925",0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
21,.Garza County,3,6442,"1:2,147",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
22,.Gillespie County,78,26521,1:340,0.09%,AttorneyPopulationDensity2016-17.pdf,8,43
23,.Glasscock County,1,1314,"1:1,314",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
24,.Gonzales County,20,20876,"1:1,044",0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
25,.Gray County,23,22725,1:988,0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
26,.Grimes County,33,27671,1:839,0.04%,AttorneyPopulationDensity2016-17.pdf,8,43
27,.Hale County,31,34263,"1:1,105",0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
28,.Hall County,1,3138,"1:3,138",0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
29,.Hamilton County,20,8304,1:415,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
30,.Hansford County,6,5538,1:923,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
31,.Hardeman County,4,3906,1:977,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
32,.Harrison County,91,66534,1:731,0.10%,AttorneyPopulationDensity2016-17.pdf,8,43
33,.Hartley County,0,5747,1:--,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43
34,.Haskell County,5,5681,"1:1,136",0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
35,.Hemphill County,5,4129,1:826,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43
36,.Henderson County,95,79901,1:841,0.11%,AttorneyPopulationDensity2016-17.pdf,8,43
37,.Hill County,36,35077,1:974,0.04%,AttorneyPopulationDensity2016-17.pdf,8,43
38,.Hockley County,16,23275,"1:1,455",0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
39,.Hopkins County,43,36400,1:847,0.05%,AttorneyPopulationDensity2016-17.pdf,8,43
40,.Houston County,19,22754,"1:1,198",0.02%,AttorneyPopulationDensity2016-17.pdf,8,43
41,.Howard County,24,36708,"1:1,530",0.03%,AttorneyPopulationDensity2016-17.pdf,8,43
0,.Hutchinson County,19,21511,"1:1,132",0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
1,.Jack County,9,8744,1:972,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
2,.Jackson County,14,14869,"1:1,062",0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
3,.Jasper County,27,35648,"1:1,320",0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
4,.Jeff Davis County,8,2200,1:275,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
5,.Jim Hogg County,2,5146,"1:2,573",0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
6,.Jim Wells County,45,41149,1:914,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43
7,.Karnes County,19,15254,1:803,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
8,.Kenedy County,1,404,1:404,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
9,.Kent County,1,769,1:769,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
10,.Kerr County,132,51504,1:390,0.15%,AttorneyPopulationDensity2016-17.pdf,9,43
11,.Kimble County,9,4423,1:491,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
12,.King County,1,289,1:289,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
13,.Kinney County,3,3590,"1:1,197",0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
14,.Kleberg County,25,31690,"1:1,268",0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
15,.Knox County,1,3806,"1:3,806",0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
16,.Lamar County,61,49791,1:816,0.07%,AttorneyPopulationDensity2016-17.pdf,9,43
17,.Lamb County,7,13275,"1:1,896",0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
18,.La Salle County,3,7613,"1:2,538",0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
19,.Lavaca County,29,19809,1:683,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
20,.Lee County,16,17055,"1:1,066",0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
21,.Leon County,16,17299,"1:1,081",0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
22,.Limestone County,31,23468,1:757,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
23,.Lipscomb County,4,3487,1:872,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
24,.Live Oak County,13,12056,1:927,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
25,.Llano County,66,20362,1:309,0.07%,AttorneyPopulationDensity2016-17.pdf,9,43
26,.Loving County,0,113,1:--,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
27,.McCulloch County,9,8172,1:908,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
28,.McMullen County,1,804,1:804,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
29,.Madison County,15,13987,1:932,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
30,.Marion County,7,10147,"1:1,450",0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
31,.Mason County,14,4111,1:294,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
32,.Matagorda County,41,37187,1:907,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43
33,.Maverick County,50,57685,"1:1,154",0.06%,AttorneyPopulationDensity2016-17.pdf,9,43
34,.Menard County,3,2123,1:708,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
35,.Milam County,31,24871,1:802,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
36,.Mills County,7,4907,1:701,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
37,.Mitchell County,5,8720,"1:1,744",0.01%,AttorneyPopulationDensity2016-17.pdf,9,43
38,.Montague County,23,19414,1:844,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43
39,.Moore County,14,22120,"1:1,580",0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
40,.Morris County,15,12593,1:840,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43
41,.Motley County,1,1160,"1:1,160",0.00%,AttorneyPopulationDensity2016-17.pdf,9,43
0,Nacogdoches County,103,65806,1:639,0.12%,AttorneyPopulationDensity2016-17.pdf,10,41
1,Navarro County,56,48523,1:866,0.06%,AttorneyPopulationDensity2016-17.pdf,10,41
2,Nolan County,23,14993,1:652,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41
3,Ochiltree County,13,10306,1:793,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
4,Palo Pinto County,29,28053,1:967,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41
5,Panola County,21,23492,"1:1,119",0.02%,AttorneyPopulationDensity2016-17.pdf,10,41
6,Parmer County,5,9776,"1:1,955",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
7,Pecos County,13,15970,"1:1,228",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
8,Polk County,59,47916,1:812,0.07%,AttorneyPopulationDensity2016-17.pdf,10,41
9,Presidio County,9,6958,1:773,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
10,Rains County,6,11314,"1:1,886",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
11,Reagan County,4,3608,1:902,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
12,Real County,8,3389,1:424,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
13,Red River County,6,12207,"1:2,035",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
14,Reeves County,9,14921,"1:1,658",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
15,Refugio County,8,7321,1:915,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
16,Roberts County,3,916,1:305,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
17,Runnels County,9,10448,"1:1,161",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
18,Sabine County,8,10303,"1:1,288",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
19,San Augustine County,6,8320,"1:1,387",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
20,San Jacinto County,15,27707,"1:1,847",0.02%,AttorneyPopulationDensity2016-17.pdf,10,41
21,San Saba County,17,5944,1:350,0.02%,AttorneyPopulationDensity2016-17.pdf,10,41
22,Schleicher County,4,3056,1:764,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
23,Scurry County,9,17333,"1:1,926",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
24,Shackelford County,4,3315,1:829,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
25,Shelby County,26,25579,1:984,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41
26,Sherman County,0,3068,1:--,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
27,Starr County,44,64122,"1:1,457",0.05%,AttorneyPopulationDensity2016-17.pdf,10,41
28,Stephens County,3,9906,"1:3,302",0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
29,Sterling County,1,1367,"1:1,367",0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
30,Stonewall County,2,1426,1:713,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
31,Sutton County,7,3869,1:553,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
32,Swisher County,5,7466,"1:1,493",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
33,Terrell County,2,812,1:406,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
34,Terry County,8,12799,"1:1,600",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
35,Throckmorton County,1,1533,"1:1,533",0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
36,Titus County,25,32592,"1:1,304",0.03%,AttorneyPopulationDensity2016-17.pdf,10,41
37,Trinity County,6,14442,"1:2,407",0.01%,AttorneyPopulationDensity2016-17.pdf,10,41
38,Tyler County,17,21320,"1:1,254",0.02%,AttorneyPopulationDensity2016-17.pdf,10,41
39,Upton County,2,3673,"1:1,837",0.00%,AttorneyPopulationDensity2016-17.pdf,10,41
0,.Uvalde County,30,27285,1:910,0.03%,AttorneyPopulationDensity2016-17.pdf,11,17
1,.Val Verde County,63,48881,1:776,0.07%,AttorneyPopulationDensity2016-17.pdf,11,17
2,.Van Zandt County,48,54355,"1:1,132",0.05%,AttorneyPopulationDensity2016-17.pdf,11,17
3,.Walker County,101,71484,1:708,0.11%,AttorneyPopulationDensity2016-17.pdf,11,17
4,.Ward County,8,11600,"1:1,450",0.01%,AttorneyPopulationDensity2016-17.pdf,11,17
5,.Washington County,86,35056,1:408,0.10%,AttorneyPopulationDensity2016-17.pdf,11,17
6,.Wharton County,48,41735,1:869,0.05%,AttorneyPopulationDensity2016-17.pdf,11,17
7,.Wheeler County,4,5546,"1:1,387",0.00%,AttorneyPopulationDensity2016-17.pdf,11,17
8,.Wilbarger County,10,12892,"1:1,289",0.01%,AttorneyPopulationDensity2016-17.pdf,11,17
9,.Willacy County,8,21810,"1:2,726",0.01%,AttorneyPopulationDensity2016-17.pdf,11,17
10,.Winkler County,4,7893,"1:1,973",0.00%,AttorneyPopulationDensity2016-17.pdf,11,17
11,.Wood County,47,44227,1:941,0.05%,AttorneyPopulationDensity2016-17.pdf,11,17
12,.Yoakum County,4,8488,"1:2,122",0.00%,AttorneyPopulationDensity2016-17.pdf,11,17
13,.Young County,24,18152,1:756,0.03%,AttorneyPopulationDensity2016-17.pdf,11,17
14,.Zapata County,2,14349,"1:7,175",0.00%,AttorneyPopulationDensity2016-17.pdf,11,17
15,.Zavala County,4,12023,"1:3,006",0.00%,AttorneyPopulationDensity2016-17.pdf,11,17
